Year,Age,Gender_num,qx,Gender,GDP_Per_Capita,Inflation_Rate,Healthcare_GDP_Pct,PM25_Exposure,Alcohol_Per_Capita,Unemp_Rate
2000,0,0,0.00867,Female,3300.63634928559,0.981615478857598,6.18559313,18.083013444041,5.42,14.3
2001,0,0,0.00585,Female,3532.52787363242,1.36712030817819,6.00193262,17.3276190793162,5.42,14.9
2002,0,0,0.00717,Female,4148.13091485015,0.281506610345575,6.13477659,16.4295435196153,5.62,13
2003,0,0,0.00612,Female,5507.47434187652,-1.13430854990247,6.17724085,15.5425823302599,5.89,12.2
2004,0,0,0.00741,Female,6734.57487061946,1.16410252104671,5.48347187,14.8205310765714,6.1,11.4
2005,0,0,0.00619,Female,7857.03148786492,2.65848484065262,5.64637566,14.4171853238712,6.39,8.6
2006,0,0,0.00681,Female,9210.10118229413,3.73912004060664,5.85725737,14.2765715251915,6.62,5.7
2007,0,0,0.00651,Female,12295.1212779366,5.73717382799842,5.75978613,14.2038714091332,6.81,4.4
2008,0,0,0.00535,Female,14955.5345462921,10.9258856241655,6.29010201,14.1446134543711,6.74,5.7
2009,0,0,0.00465,Female,11854.3711053096,4.45304456518535,7.34499836,14.0443261395798,6.47,10.7
2010,0,0,0.00441,Female,11829.122609457,1.31921362055463,6.9058671,13.8485379434341,6.6,14.7
2011,0,0,0.00429,Female,14261.8433787325,4.13027562645085,6.54017687,12.3194519812497,6.87,13.2
2012,0,0,0.00349,Female,14288.1853493139,3.08998277055417,6.30798101,12.373124789345,7.26,11.8
2013,0,0,0.00303,Female,15636.525258604799,1.04747937065344,6.15501022,12.4131714589563,7.25,10.6
2014,0,0,0.00466,Female,16446.1647181663,0.103758009433708,6.22244453,12.7577404745041,6.95,9.4
2015,0,0,0.00387,Female,14269.8039878287,-0.884097405500596,6.47396851,11.3028578201847,6.56,8.4
2016,0,0,0.00481,Female,14934.2702840428,0.905525075460342,6.64928818,10.2329418108878,6.01,6.8
2017,0,0,0.00288,Female,16800.1510246099,3.72288862303707,6.44472837,9.79993642739852,5.64,5.9
2018,0,0,0.00307,Female,19247.2315367967,2.69792779208394,6.46896172,11.0838572805935,5.39,5.6
2019,0,0,0.00278,Female,19608.7943945553,2.33450937988027,6.94472647,10.2465023749528,5.39,5.7
2020,0,0,0.00258,Female,20428.6478157394,1.19989444983569,7.41619062,9.21893860360944,5.5,8
2021,0,0,0.00243,Female,23870.4594851722,4.68354420903453,7.73210812,9.21893860360944,5.5,6.9
2022,0,0,0.00266,Female,25085.784063499,19.7050461518394,7.24367952,9.21893860360944,5.5,5.7
2023,0,0,0.00225,Female,27786.0057829276,9.11731962390475,7.31801939,9.21893860360944,5.5,6.6
2024,0,0,0.00291,Female,29384.0189598663,0.715735835228723,7.59519005,9.21893860360944,5.5,6.8
2000,1,0,0.00108,Female,3300.63634928559,0.981615478857598,6.18559313,18.083013444041,5.42,14.3
2001,1,0,9e-4,Female,3532.52787363242,1.36712030817819,6.00193262,17.3276190793162,5.42,14.9
2002,1,0,5.1e-4,Female,4148.13091485015,0.281506610345575,6.13477659,16.4295435196153,5.62,13
2003,1,0,5.5e-4,Female,5507.47434187652,-1.13430854990247,6.17724085,15.5425823302599,5.89,12.2
2004,1,0,4.3e-4,Female,6734.57487061946,1.16410252104671,5.48347187,14.8205310765714,6.1,11.4
2005,1,0,4.9e-4,Female,7857.03148786492,2.65848484065262,5.64637566,14.4171853238712,6.39,8.6
2006,1,0,5e-4,Female,9210.10118229413,3.73912004060664,5.85725737,14.2765715251915,6.62,5.7
2007,1,0,5.7e-4,Female,12295.1212779366,5.73717382799842,5.75978613,14.2038714091332,6.81,4.4
2008,1,0,4.2e-4,Female,14955.5345462921,10.9258856241655,6.29010201,14.1446134543711,6.74,5.7
2009,1,0,1.4e-4,Female,11854.3711053096,4.45304456518535,7.34499836,14.0443261395798,6.47,10.7
2010,1,0,2e-4,Female,11829.122609457,1.31921362055463,6.9058671,13.8485379434341,6.6,14.7
